timestamp,steps,data source
2025-08-02T08:09:00Z,17,Sense 2
2025-08-02T08:10:00Z,11,Sense 2
2025-08-02T08:13:00Z,8,Sense 2
2025-08-02T09:12:00Z,7,Sense 2
2025-08-02T09:15:00Z,13,Sense 2
2025-08-02T09:16:00Z,7,Sense 2
2025-08-02T09:25:00Z,9,Sense 2
2025-08-02T09:36:00Z,17,Sense 2
2025-08-02T09:38:00Z,13,Sense 2
2025-08-02T09:39:00Z,12,Sense 2
2025-08-02T09:50:00Z,4,Sense 2
2025-08-02T10:14:00Z,15,Sense 2
2025-08-02T10:24:00Z,12,Sense 2
2025-08-02T11:38:00Z,12,Sense 2
2025-08-02T11:41:00Z,12,Sense 2
2025-08-02T12:57:00Z,33,Sense 2
2025-08-02T14:12:00Z,7,Sense 2
2025-08-02T14:14:00Z,15,Sense 2
2025-08-02T14:16:00Z,10,Sense 2
2025-08-02T14:18:00Z,15,Sense 2
2025-08-02T14:22:00Z,9,Sense 2
2025-08-02T14:23:00Z,10,Sense 2
2025-08-02T14:30:00Z,8,Sense 2
2025-08-02T14:33:00Z,16,Sense 2
2025-08-02T14:34:00Z,65,Sense 2
2025-08-02T14:35:00Z,91,Sense 2
2025-08-02T14:36:00Z,63,Sense 2
2025-08-02T14:38:00Z,20,Sense 2
2025-08-02T14:39:00Z,78,Sense 2
2025-08-02T14:40:00Z,59,Sense 2
2025-08-02T14:41:00Z,26,Sense 2
2025-08-02T14:43:00Z,36,Sense 2
2025-08-02T14:44:00Z,53,Sense 2
2025-08-02T14:45:00Z,15,Sense 2
2025-08-02T15:00:00Z,7,Sense 2
2025-08-02T15:01:00Z,9,Sense 2
2025-08-02T15:03:00Z,6,Sense 2
2025-08-02T15:04:00Z,20,Sense 2
2025-08-02T15:05:00Z,1,Sense 2
2025-08-02T15:06:00Z,4,Sense 2
2025-08-02T15:07:00Z,19,Sense 2
2025-08-02T15:11:00Z,12,Sense 2
2025-08-02T15:12:00Z,10,Sense 2
2025-08-02T15:14:00Z,16,Sense 2
2025-08-02T15:15:00Z,7,Sense 2
2025-08-02T15:16:00Z,13,Sense 2
2025-08-02T15:17:00Z,11,Sense 2
2025-08-02T15:19:00Z,35,Sense 2
2025-08-02T15:20:00Z,43,Sense 2
2025-08-02T15:22:00Z,21,Sense 2
2025-08-02T15:23:00Z,31,Sense 2
2025-08-02T15:24:00Z,30,Sense 2
2025-08-02T15:25:00Z,46,Sense 2
2025-08-02T15:26:00Z,15,Sense 2
2025-08-02T15:27:00Z,16,Sense 2
2025-08-02T15:28:00Z,53,Sense 2
2025-08-02T15:29:00Z,33,Sense 2
2025-08-02T15:30:00Z,34,Sense 2
2025-08-02T15:31:00Z,41,Sense 2
2025-08-02T15:33:00Z,23,Sense 2
2025-08-02T15:41:00Z,20,Sense 2
2025-08-02T15:42:00Z,38,Sense 2
2025-08-02T15:43:00Z,54,Sense 2
2025-08-02T15:44:00Z,80,Sense 2
2025-08-02T15:45:00Z,71,Sense 2
2025-08-02T15:46:00Z,88,Sense 2
2025-08-02T15:47:00Z,94,Sense 2
2025-08-02T15:48:00Z,92,Sense 2
2025-08-02T15:49:00Z,58,Sense 2
2025-08-02T15:50:00Z,51,Sense 2
2025-08-02T15:51:00Z,93,Sense 2
2025-08-02T15:52:00Z,60,Sense 2
2025-08-02T15:56:00Z,11,Sense 2
2025-08-02T15:57:00Z,7,Sense 2
2025-08-02T15:59:00Z,11,Sense 2
2025-08-02T16:02:00Z,10,Sense 2
2025-08-02T16:04:00Z,6,Sense 2
2025-08-02T16:17:00Z,16,Sense 2
2025-08-02T16:18:00Z,20,Sense 2
2025-08-02T16:19:00Z,14,Sense 2
2025-08-02T16:20:00Z,56,Sense 2
2025-08-02T16:21:00Z,44,Sense 2
2025-08-02T16:22:00Z,9,Sense 2
2025-08-02T16:23:00Z,31,Sense 2
2025-08-02T16:24:00Z,48,Sense 2
2025-08-02T16:50:00Z,5,Sense 2
2025-08-02T16:53:00Z,10,Sense 2
2025-08-02T17:00:00Z,6,Sense 2
2025-08-02T17:09:00Z,10,Sense 2
2025-08-02T17:45:00Z,7,Sense 2
2025-08-02T21:27:00Z,11,Sense 2
2025-08-03T00:05:00Z,6,Sense 2
2025-08-03T00:06:00Z,9,Sense 2
2025-08-03T00:07:00Z,16,Sense 2
2025-08-03T00:08:00Z,4,Sense 2
2025-08-03T00:14:00Z,35,Sense 2
2025-08-03T00:48:00Z,5,Sense 2
2025-08-03T00:51:00Z,7,Sense 2
2025-08-03T00:55:00Z,8,Sense 2
2025-08-03T00:56:00Z,7,Sense 2
2025-08-03T00:58:00Z,5,Sense 2
2025-08-03T01:30:00Z,6,Sense 2
2025-08-03T01:31:00Z,8,Sense 2
2025-08-03T01:54:00Z,23,Sense 2
2025-08-03T01:58:00Z,4,Sense 2
2025-08-03T01:59:00Z,27,Sense 2
2025-08-03T02:00:00Z,55,Sense 2
2025-08-03T02:01:00Z,45,Sense 2
2025-08-03T02:02:00Z,7,Sense 2
2025-08-03T02:03:00Z,16,Sense 2
2025-08-03T02:04:00Z,21,Sense 2
2025-08-03T02:06:00Z,31,Sense 2
2025-08-03T02:07:00Z,8,Sense 2
2025-08-03T02:08:00Z,19,Sense 2
2025-08-03T02:09:00Z,58,Sense 2
2025-08-03T02:10:00Z,9,Sense 2
2025-08-03T02:12:00Z,6,Sense 2
2025-08-03T02:14:00Z,34,Sense 2
2025-08-03T02:16:00Z,20,Sense 2
2025-08-03T02:17:00Z,17,Sense 2
2025-08-03T02:20:00Z,15,Sense 2
2025-08-03T02:22:00Z,7,Sense 2
2025-08-03T02:23:00Z,21,Sense 2
2025-08-03T02:24:00Z,9,Sense 2
2025-08-03T02:25:00Z,13,Sense 2
2025-08-03T02:26:00Z,24,Sense 2
2025-08-03T02:27:00Z,8,Sense 2
2025-08-03T02:29:00Z,11,Sense 2
2025-08-03T02:30:00Z,18,Sense 2
2025-08-03T02:37:00Z,9,Sense 2
2025-08-03T02:46:00Z,9,Sense 2
2025-08-03T02:47:00Z,6,Sense 2
2025-08-03T02:49:00Z,15,Sense 2
2025-08-03T02:52:00Z,8,Sense 2
2025-08-03T02:53:00Z,12,Sense 2
2025-08-03T02:54:00Z,33,Sense 2
2025-08-03T02:55:00Z,35,Sense 2
2025-08-03T02:56:00Z,14,Sense 2
2025-08-03T02:57:00Z,17,Sense 2
2025-08-03T03:00:00Z,28,Sense 2
2025-08-03T03:01:00Z,13,Sense 2
2025-08-03T03:02:00Z,32,Sense 2
2025-08-03T03:03:00Z,4,Sense 2
2025-08-03T03:04:00Z,33,Sense 2
2025-08-03T03:07:00Z,30,Sense 2
2025-08-03T03:08:00Z,15,Sense 2
2025-08-03T03:09:00Z,4,Sense 2
2025-08-03T03:10:00Z,7,Sense 2
2025-08-03T03:11:00Z,35,Sense 2
2025-08-03T03:12:00Z,7,Sense 2
2025-08-03T03:13:00Z,35,Sense 2
2025-08-03T03:14:00Z,33,Sense 2
2025-08-03T03:15:00Z,8,Sense 2
2025-08-03T03:16:00Z,24,Sense 2
2025-08-03T03:17:00Z,26,Sense 2
2025-08-03T03:18:00Z,34,Sense 2
2025-08-03T03:19:00Z,29,Sense 2
2025-08-03T03:20:00Z,9,Sense 2
2025-08-03T03:21:00Z,16,Sense 2
2025-08-03T03:22:00Z,31,Sense 2
2025-08-03T03:24:00Z,28,Sense 2
2025-08-03T03:25:00Z,45,Sense 2
2025-08-03T03:28:00Z,8,Sense 2
2025-08-03T03:29:00Z,30,Sense 2
2025-08-03T03:39:00Z,7,Sense 2
2025-08-03T03:46:00Z,19,Sense 2
2025-08-03T03:47:00Z,15,Sense 2
2025-08-03T03:48:00Z,20,Sense 2
2025-08-03T03:49:00Z,39,Sense 2
2025-08-03T03:50:00Z,47,Sense 2
2025-08-03T03:51:00Z,49,Sense 2
2025-08-03T03:52:00Z,23,Sense 2
2025-08-03T03:53:00Z,42,Sense 2
2025-08-03T03:55:00Z,18,Sense 2
2025-08-03T03:56:00Z,26,Sense 2
2025-08-03T03:59:00Z,13,Sense 2
2025-08-03T04:00:00Z,26,Sense 2
2025-08-03T04:05:00Z,4,Sense 2
2025-08-03T04:07:00Z,8,Sense 2
