timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2025-08-04T03:25:00Z,23.996,0.0,Fitbit App
2025-08-04T03:30:00Z,19.949,0.0,Fitbit App
2025-08-04T03:35:00Z,17.213,0.0,Fitbit App
2025-08-04T03:40:00Z,16.697,0.0,Fitbit App
2025-08-04T03:45:00Z,12.935,0.0,Fitbit App
2025-08-04T03:50:00Z,10.881,0.0,Fitbit App
2025-08-04T03:55:00Z,14.941,0.0,Fitbit App
2025-08-04T04:00:00Z,13.459,0.0,Fitbit App
2025-08-04T04:05:00Z,13.173,0.0,Fitbit App
2025-08-04T04:10:00Z,24.558,0.0,Fitbit App
2025-08-04T04:15:00Z,27.386,0.0,Fitbit App
2025-08-04T04:20:00Z,29.703,0.0,Fitbit App
2025-08-04T04:25:00Z,20.037,0.0,Fitbit App
2025-08-04T04:35:00Z,19.59,0.0,Fitbit App
2025-08-04T04:40:00Z,18.716,0.0,Fitbit App
2025-08-04T04:45:00Z,14.346,0.0,Fitbit App
2025-08-04T04:50:00Z,14.645,0.0,Fitbit App
2025-08-04T04:55:00Z,16.812,0.0,Fitbit App
2025-08-04T05:00:00Z,36.715,0.0,Fitbit App
2025-08-04T05:05:00Z,20.111,0.0,Fitbit App
2025-08-04T05:10:00Z,19.087,0.0,Fitbit App
2025-08-04T05:15:00Z,15.164,0.0,Fitbit App
2025-08-04T05:20:00Z,27.537,0.0,Fitbit App
2025-08-04T05:25:00Z,33.569,0.0,Fitbit App
2025-08-05T00:45:00Z,56.633,0.0,Fitbit App
2025-08-05T00:50:00Z,55.399,0.0,Fitbit App
2025-08-05T00:55:00Z,41.601,0.0,Fitbit App
2025-08-05T01:00:00Z,23.496,0.0,Fitbit App
2025-08-05T01:05:00Z,10.72,0.0,Fitbit App
2025-08-05T01:10:00Z,11.615,0.0,Fitbit App
2025-08-05T01:15:00Z,11.642,0.0,Fitbit App
2025-08-05T01:20:00Z,13.958,0.0,Fitbit App
2025-08-05T01:25:00Z,11.934,0.0,Fitbit App
2025-08-05T01:30:00Z,12.485,0.0,Fitbit App
2025-08-05T01:35:00Z,12.151,0.0,Fitbit App
2025-08-05T01:40:00Z,9.925,0.0,Fitbit App
2025-08-05T01:45:00Z,7.839,0.0,Fitbit App
2025-08-05T01:50:00Z,8.124,0.0,Fitbit App
2025-08-05T01:55:00Z,14.385,0.0,Fitbit App
2025-08-05T02:00:00Z,13.069,0.0,Fitbit App
2025-08-05T02:05:00Z,17.524,0.0,Fitbit App
2025-08-05T02:10:00Z,8.34,0.0,Fitbit App
2025-08-05T02:15:00Z,13.467,0.0,Fitbit App
2025-08-05T02:20:00Z,8.54,0.0,Fitbit App
2025-08-05T02:25:00Z,12.906,0.0,Fitbit App
2025-08-05T02:30:00Z,17.406,0.0,Fitbit App
2025-08-05T02:35:00Z,17.537,0.0,Fitbit App
2025-08-05T02:40:00Z,18.231,0.0,Fitbit App
2025-08-05T02:45:00Z,14.352,0.0,Fitbit App
2025-08-05T02:50:00Z,14.29,0.0,Fitbit App
2025-08-05T02:55:00Z,13.787,0.0,Fitbit App
2025-08-05T03:00:00Z,14.107,0.0,Fitbit App
2025-08-05T03:05:00Z,14.452,0.0,Fitbit App
2025-08-05T03:10:00Z,12.671,0.0,Fitbit App
2025-08-05T03:15:00Z,15.173,0.0,Fitbit App
2025-08-05T03:20:00Z,15.303,0.0,Fitbit App
2025-08-05T03:25:00Z,14.304,0.0,Fitbit App
2025-08-05T03:30:00Z,16.612,0.0,Fitbit App
2025-08-05T03:35:00Z,21.236,0.0,Fitbit App
2025-08-05T03:40:00Z,22.261,0.0,Fitbit App
2025-08-05T03:45:00Z,23.032,0.0,Fitbit App
2025-08-05T03:50:00Z,25.869,0.0,Fitbit App
2025-08-05T03:55:00Z,20.468,0.0,Fitbit App
2025-08-05T04:00:00Z,27.472,0.0,Fitbit App
2025-08-05T04:05:00Z,23.492,0.0,Fitbit App
2025-08-05T04:10:00Z,22.761,0.0,Fitbit App
2025-08-05T04:15:00Z,24.321,0.0,Fitbit App
2025-08-05T04:20:00Z,19.41,0.0,Fitbit App
2025-08-05T04:25:00Z,21.129,0.0,Fitbit App
2025-08-05T04:30:00Z,19.662,0.0,Fitbit App
2025-08-05T04:35:00Z,18.407,0.0,Fitbit App
2025-08-05T04:40:00Z,12.657,0.0,Fitbit App
2025-08-05T05:05:00Z,30.579,0.0,Fitbit App
2025-08-05T05:10:00Z,24.509,0.0,Fitbit App
2025-08-05T05:15:00Z,20.541,0.0,Fitbit App
2025-08-05T05:20:00Z,19.022,0.0,Fitbit App
