timestamp,temperature celsius,data source
2025-07-14T17:37:00Z,33.7,Sense 2
2025-07-14T17:38:00Z,33.7,Sense 2
2025-07-14T17:39:00Z,33.7,Sense 2
2025-07-14T17:40:00Z,33.7,Sense 2
2025-07-14T17:41:00Z,33.7,Sense 2
2025-07-14T17:42:00Z,33.7,Sense 2
2025-07-14T17:43:00Z,33.8,Sense 2
2025-07-14T17:44:00Z,33.8,Sense 2
2025-07-14T17:45:00Z,33.9,Sense 2
2025-07-14T17:46:00Z,34.0,Sense 2
2025-07-14T17:47:00Z,34.0,Sense 2
2025-07-14T17:48:00Z,34.0,Sense 2
2025-07-14T17:49:00Z,34.0,Sense 2
2025-07-14T17:50:00Z,34.0,Sense 2
2025-07-14T17:51:00Z,34.0,Sense 2
2025-07-14T17:52:00Z,34.0,Sense 2
2025-07-14T17:53:00Z,34.1,Sense 2
2025-07-14T17:54:00Z,34.1,Sense 2
2025-07-14T17:55:00Z,34.1,Sense 2
2025-07-14T17:56:00Z,34.2,Sense 2
2025-07-14T17:57:00Z,34.2,Sense 2
2025-07-14T17:58:00Z,34.2,Sense 2
2025-07-14T17:59:00Z,34.3,Sense 2
2025-07-14T18:00:00Z,34.3,Sense 2
2025-07-14T18:01:00Z,34.3,Sense 2
2025-07-14T18:02:00Z,34.1,Sense 2
2025-07-14T18:03:00Z,33.9,Sense 2
2025-07-14T18:04:00Z,33.8,Sense 2
2025-07-14T18:05:00Z,33.8,Sense 2
2025-07-14T18:06:00Z,33.8,Sense 2
2025-07-14T18:07:00Z,33.8,Sense 2
2025-07-14T18:08:00Z,33.9,Sense 2
2025-07-14T18:09:00Z,34.0,Sense 2
2025-07-14T18:10:00Z,34.1,Sense 2
2025-07-14T18:11:00Z,34.2,Sense 2
2025-07-14T18:12:00Z,34.3,Sense 2
2025-07-14T18:13:00Z,34.2,Sense 2
2025-07-14T18:14:00Z,34.3,Sense 2
2025-07-14T18:15:00Z,34.3,Sense 2
2025-07-14T18:16:00Z,34.4,Sense 2
2025-07-14T18:17:00Z,34.4,Sense 2
2025-07-14T18:18:00Z,34.4,Sense 2
2025-07-14T18:19:00Z,34.5,Sense 2
2025-07-14T18:20:00Z,34.5,Sense 2
2025-07-14T18:21:00Z,34.4,Sense 2
2025-07-14T18:22:00Z,34.4,Sense 2
2025-07-14T18:23:00Z,34.3,Sense 2
2025-07-14T18:24:00Z,34.3,Sense 2
2025-07-14T18:25:00Z,34.4,Sense 2
2025-07-14T18:26:00Z,34.5,Sense 2
