timestamp,lap time,stroke count,stroke type,data source
2025-08-17T23:03:34Z,00:00:22.000,17,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-17T23:04:36Z,00:00:49.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-18T03:12:04Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-18T14:37:36Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-19T13:32:22Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-19T13:33:34Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-19T13:34:20Z,00:00:28.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-19T13:34:56Z,00:00:22.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-19T13:38:18Z,00:00:23.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-19T13:40:03Z,00:00:27.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-19T13:44:51Z,00:00:24.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-19T13:46:00Z,00:00:26.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-19T13:48:40Z,00:00:22.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-19T13:49:28Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-20T09:00:22Z,00:00:20.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-20T09:00:47Z,00:00:23.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-20T09:02:23Z,00:00:18.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-20T09:10:02Z,00:00:22.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-20T22:57:55Z,00:00:15.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-20T23:00:21Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-21T00:45:57Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-21T00:57:04Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-21T10:06:09Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-22T00:07:03Z,00:00:57.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-22T00:08:02Z,00:00:46.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-22T09:11:07Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-23T13:24:44Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-23T14:22:49Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-23T14:24:09Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-24T07:33:04Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-24T12:12:31Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-24T12:13:51Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-24T22:40:12Z,00:00:56.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-24T22:41:21Z,00:00:21.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-24T22:41:48Z,00:00:38.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-25T07:28:27Z,00:00:18.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-25T10:19:44Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-25T10:22:21Z,00:00:19.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
